stop_id,stop_id_to,travel_duration
F04673,009760,22.95214334825865
CSF04672,F04672,11.684022109206758
F04672,CSF04672,11.684022109206758
CSF04672,F04673,11.675393091258794
F04673,CSF04672,11.675393091258794
F04672,F04673,23.359402107940582
F04673,F04672,23.359402107940582
009016,009017,2.617964555567544
009017,009016,2.617964555567544
009016,009018,41.32157695764058
009018,009016,41.32157695764058
009016,CSF04675,36.373729199333106
CSF04675,009016,36.373729199333106
009016,F04674,37.58505591530817
F04674,009016,37.58505591530817
009016,F04675,36.12443078707078
F04675,009016,36.12443078707078
009017,009018,42.35396082845119
009018,009017,42.35396082845119
009017,CSF04675,38.360140395945045
CSF04675,009017,38.360140395945045
009017,F04674,39.80784538382745
F04674,009017,39.80784538382745
009017,F04675,37.813136601035815
F04675,009017,37.813136601035815
009018,CSF04675,18.42377423665707
CSF04675,009018,18.42377423665707
009018,F04674,24.319109502447013
F04674,009018,24.319109502447013
009018,F04675,12.568457359059927
F04675,009018,12.568457359059927
CSF04675,F04674,5.952135528120898
F04674,CSF04675,5.952135528120898
CSF04675,F04675,5.964039219032599
F04675,CSF04675,5.964039219032599
F04674,F04675,11.916171605789117
F04675,F04674,11.916171605789117
CSF04670,F04670,1.1873115959514418
F04670,CSF04670,1.1873115959514418
CSF04670,F04671,1.1873119931371567
F04671,CSF04670,1.1873119931371567
F04670,F04671,2.374623589159633
F04671,F04670,2.374623589159633
009014,009015,14.997856642053378
009015,009014,14.997856642053378
009022,F04669,9.565017384073489
F04669,009022,9.565017384073489
CSF04668,F04668,11.45721079491005
F04668,CSF04668,11.45721079491005
009009,009010,3.5368674893602567
009010,009009,3.5368674893602567
009011,009012,5.980158575834684
009012,009011,5.980158575834684
009004,009005,13.646002651529201
009005,009004,13.646002651529201
009004,009006,15.066460685445096
009006,009004,15.066460685445096
009005,009006,13.538449891275144
009006,009005,13.538449891275144
009007,009008,8.15033474358337
009008,009007,8.15033474358337
CSF04664,F04664,10.514086954530331
F04664,CSF04664,10.514086954530331
CSF04664,F04665,10.54041949834241
F04665,CSF04664,10.54041949834241
F04664,F04665,21.05450643158545
F04665,F04664,21.05450643158545
F03183,F03184,6.477192761018003
F03184,F03183,6.477192761018003
F03070,F03072,17.261724562941104
F03072,F03070,17.261724562941104
F03070,F03073,15.698799722040409
F03073,F03070,15.698799722040409
F03072,F03073,9.864914974470723
F03073,F03072,9.864914974470723
F03066,F03067,8.669633348277834
F03067,F03066,8.669633348277834
F03179,F03180,2.5536166954943806
F03180,F03179,2.5536166954943806
F03068,F03069,5.437631877388621
F03069,F03068,5.437631877388621
F03181,F03182,13.00024713420653
F03182,F03181,13.00024713420653
F03117,F03118,7.444579493898526
F03118,F03117,7.444579493898526
F03114,F03115,24.26317498006535
F03115,F03114,24.26317498006535
F03119,F03120,8.066642745140948
F03120,F03119,8.066642745140948
F03112,F03113,5.185601291014211
F03113,F03112,5.185601291014211
F03121,F03122,6.690470205203978
F03122,F03121,6.690470205203978
F03121,F03123,9.89601794245693
F03123,F03121,9.89601794245693
F03121,F03124,15.471760580451543
F03124,F03121,15.471760580451543
F03122,F03123,11.301821770251964
F03123,F03122,11.301821770251964
F03122,F03124,16.511243449305045
F03124,F03122,16.511243449305045
F03123,F03124,5.621063738636811
F03124,F03123,5.621063738636811
F03168,F03169,4.528948585947359
F03169,F03168,4.528948585947359
F03086,F03087,10.415484085493027
F03087,F03086,10.415484085493027
F03172,F03173,6.2765705290756815
F03173,F03172,6.2765705290756815
F03172,F03174,8.539795578248961
F03174,F03172,8.539795578248961
F03173,F03174,2.4556928722796245
F03174,F03173,2.4556928722796245
F03088,F03089,10.28923473241871
F03089,F03088,10.28923473241871
F03090,F03091,17.323543460990447
F03091,F03090,17.323543460990447
F03078,F03079,8.652660282477566
F03079,F03078,8.652660282477566
F03074,F03075,4.3062841013299185
F03075,F03074,4.3062841013299185
F03076,F03077,7.492477335017399
F03077,F03076,7.492477335017399
F03203,F03204,14.441861936557277
F03204,F03203,14.441861936557277
009652,F03082,13.611871131098544
F03082,009652,13.611871131098544
009652,F03083,13.392637934337955
F03083,009652,13.392637934337955
009652,F03085,10.35118589876608
F03085,009652,10.35118589876608
F03082,F03083,23.51745290357335
F03083,F03082,23.51745290357335
F03082,F03085,23.346898995838337
F03085,F03082,23.346898995838337
F03083,F03085,16.222807568828895
F03085,F03083,16.222807568828895
F03080,F03081,2.9956409298683537
F03081,F03080,2.9956409298683537
F03064,F03065,12.949926470420428
F03065,F03064,12.949926470420428
F03125,F03126,22.244422519828642
F03126,F03125,22.244422519828642
F03127,F03129,4.193851337711486
F03129,F03127,4.193851337711486
F03158,F03159,24.431866291722297
F03159,F03158,24.431866291722297
F03158,F03160,24.538708896691464
F03160,F03158,24.538708896691464
F03158,F03161,14.331307128964703
F03161,F03158,14.331307128964703
F03158,F03162,15.155206256389187
F03162,F03158,15.155206256389187
F03159,F03160,6.3698936713597964
F03160,F03159,6.3698936713597964
F03159,F03161,18.186672433230424
F03161,F03159,18.186672433230424
F03159,F03162,13.07340346978122
F03162,F03159,13.07340346978122
